"","Id","ActivityDate","TotalSteps","TotalDistance","TrackerDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","TotalMinutesAsleep","TotalTimeInBed","HeartrateMean","Sleep8h","IsActive"
"127",6117666160,2016-05-05,9799,7.40000009536743,7.40000009536743,0,0,7.40000009536743,0,0,487,479,2636,392,415,84.718793158398,FALSE,FALSE
"128",6117666160,2016-05-06,3365,2.6800000667572,2.6800000667572,0,0,2.6800000667572,0,0,133,673,1838,658,698,76.57278208441,TRUE,FALSE
"129",6117666160,2016-05-07,7336,5.53999996185303,5.53999996185303,0,0,5.53999996185303,0,0,412,456,2469,498,507,83.8794781070323,TRUE,FALSE
"130",6117666160,2016-05-08,7328,5.53000020980835,5.53000020980835,0,0,5.53000020980835,0,0,318,517,2250,555,603,81.140739125695,TRUE,FALSE
"131",6117666160,2016-05-09,4477,3.38000011444092,3.38000011444092,0,0,3.38000011444092,0,0,197,125,1248,492,522,76.4660606060606,TRUE,FALSE
"132",6775888955,2016-04-13,4053,2.91000008583069,2.91000008583069,1.11000001430511,0.579999983310699,1.22000002861023,17,18,85,1053,2400,235,260,82.7197437657287,FALSE,TRUE
"133",6775888955,2016-04-14,5162,3.70000004768372,3.70000004768372,0.870000004768372,0.860000014305115,1.97000002861023,14,24,105,863,2507,423,441,79.2680767338908,FALSE,TRUE
"134",6775888955,2016-04-15,1282,0.920000016689301,0.920000016689301,0,0,0.920000016689301,0,0,58,976,2127,391,406,80.594500723589,FALSE,FALSE
"135",6962181067,2016-04-12,10199,6.73999977111816,6.73999977111816,3.40000009536743,0.829999983310699,2.50999999046326,50,14,189,796,1994,366,387,85.036320139191,FALSE,TRUE
"136",6962181067,2016-04-13,5652,3.74000000953674,3.74000000953674,0.569999992847443,1.21000003814697,1.96000003814697,8,24,142,548,1718,630,679,80.519598354706,TRUE,TRUE
"137",6962181067,2016-04-14,1551,1.02999997138977,1.02999997138977,0,0,1.02999997138977,0,0,86,862,1466,508,535,70.1262207936704,TRUE,FALSE
"138",6962181067,2016-04-15,5563,3.6800000667572,3.6800000667572,0,0,3.6800000667572,0,0,217,837,1756,370,386,72.9919808497906,FALSE,FALSE
"139",6962181067,2016-04-16,13217,8.73999977111816,8.73999977111816,3.66000008583069,0.189999997615814,4.88000011444092,50,3,280,741,2173,357,366,82.0401821862348,FALSE,TRUE
"140",6962181067,2016-04-17,10145,6.71000003814697,6.71000003814697,0.330000013113022,0.680000007152557,5.69000005722046,5,13,295,634,2027,427,446,76.6644888082275,FALSE,FALSE
"141",6962181067,2016-04-18,11404,7.53999996185303,7.53999996185303,0.829999983310699,2.39000010490417,4.32000017166138,13,42,238,689,2039,442,458,76.9169910837624,FALSE,TRUE
"142",6962181067,2016-04-19,10742,7.09999990463257,7.09999990463257,2.09999990463257,2.13000011444092,2.86999988555908,35,41,195,659,2046,476,535,77.4285880167209,FALSE,TRUE
"143",6962181067,2016-04-20,13928,9.55000019073486,9.55000019073486,4.28000020980835,0.189999997615814,5.09000015258789,48,4,297,639,2174,418,424,74.9060108059433,FALSE,TRUE
"144",6962181067,2016-04-21,11835,9.71000003814697,7.88000011444092,3.99000000953674,2.09999990463257,3.50999999046326,53,27,214,708,2179,451,457,83.4713020662512,FALSE,TRUE
"145",6962181067,2016-04-22,10725,7.09000015258789,7.09000015258789,1.76999998092651,1.54999995231628,3.76999998092651,30,33,240,659,2086,425,435,79.1162713734142,FALSE,TRUE
"146",6962181067,2016-04-23,20031,13.2399997711182,13.2399997711182,4.19999980926514,2,7.03999996185303,58,41,347,484,2571,528,546,84.645900974026,TRUE,TRUE
"147",6962181067,2016-04-24,5029,3.3199999332428,3.3199999332428,0,0,3.3199999332428,0,0,199,720,1705,511,514,68.8234409348606,TRUE,FALSE
"148",6962181067,2016-04-25,13239,9.27000045776367,9.07999992370605,3.01999998092651,1.67999994754791,4.46000003814697,35,31,282,637,2194,400,415,73.9898823270648,FALSE,TRUE
"149",6962181067,2016-04-26,10433,6.90000009536743,6.90000009536743,2.57999992370605,0.419999986886978,3.90000009536743,36,7,254,680,2012,441,446,77.0753616687227,FALSE,TRUE
"150",6962181067,2016-04-27,10320,6.82000017166138,6.82000017166138,0.550000011920929,2.01999998092651,4.25,7,38,279,697,2034,455,467,72.9969749854567,FALSE,TRUE
"151",6962181067,2016-04-28,12627,8.35000038146973,8.35000038146973,2.50999999046326,0.239999994635582,5.59000015258789,38,8,288,621,2182,440,453,82.0752688172043,FALSE,TRUE
"152",6962181067,2016-04-29,10762,7.1100001335144,7.1100001335144,0.819999992847443,0.479999989271164,5.80999994277954,12,15,369,645,2254,433,447,80.9635204922536,FALSE,FALSE
"153",6962181067,2016-04-30,10081,6.65999984741211,6.65999984741211,2.24000000953674,0.759999990463257,3.67000007629395,32,16,237,731,2002,422,424,80.1626647834275,FALSE,TRUE
"154",6962181067,2016-05-01,5454,3.60999989509583,3.60999989509583,0,0,3.60999989509583,0,0,215,722,1740,411,426,73.2903903162055,FALSE,FALSE
"155",6962181067,2016-05-02,12912,8.53999996185303,8.53999996185303,1.20000004768372,2,5.34000015258789,18,39,313,655,2162,466,482,79.6740911956293,FALSE,TRUE
